waktu,beras,telur,gula,daging,cabai
2018-03-28,12100.0,19700.0,12650.0,31750.0,27500.0
2018-03-29,12100.0,19700.0,12650.0,31750.0,27500.0
2018-03-30,12100.0,19500.0,12650.0,31250.0,27650.0
2018-03-31,12100.0,19500.0,12650.0,31250.0,27650.0
2018-04-01,12100.0,19500.0,12650.0,31250.0,27650.0
2018-04-02,12100.0,19500.0,12650.0,31250.0,28150.0
2018-04-03,12100.0,19500.0,12650.0,32000.0,27900.0
2018-04-04,12200.0,19250.0,12650.0,31750.0,28500.0
2018-04-05,12100.0,19250.0,12650.0,31750.0,29500.0
2018-04-06,12100.0,21000.0,12650.0,32000.0,27250.0
2018-04-07,12100.0,21000.0,12650.0,32000.0,27250.0
2018-04-08,12100.0,21000.0,12650.0,32000.0,27250.0
2018-04-09,12100.0,21000.0,12650.0,32000.0,27250.0
2018-04-10,12100.0,22000.0,12600.0,32000.0,27250.0
2018-04-11,12000.0,22000.0,12600.0,32000.0,26400.0
2018-04-12,11950.0,22000.0,12600.0,32000.0,25250.0
2018-04-13,11950.0,22000.0,12550.0,32000.0,23250.0
2018-04-14,11950.0,22000.0,12550.0,32000.0,23250.0
2018-04-15,11950.0,22000.0,12550.0,32000.0,23250.0
2018-04-16,12100.0,22000.0,12550.0,32000.0,23000.0
2018-04-17,12000.0,22000.0,12550.0,32000.0,23000.0
2018-04-18,11900.0,22000.0,12550.0,32000.0,22650.0
2018-04-19,11900.0,22000.0,12450.0,32000.0,22900.0
2018-04-20,11850.0,22000.0,12600.0,33000.0,22000.0
2018-04-21,11850.0,22000.0,12600.0,33000.0,22000.0
2018-04-22,11850.0,22000.0,12600.0,33000.0,22000.0
2018-04-23,11850.0,22000.0,12600.0,33000.0,22000.0
2018-04-24,11850.0,22000.0,12600.0,33000.0,22900.0
2018-04-25,11850.0,22000.0,12600.0,33000.0,22500.0
2018-04-26,11850.0,22000.0,12600.0,33000.0,22400.0
2018-04-27,11850.0,22000.0,12550.0,33000.0,21150.0
2018-04-28,11850.0,22000.0,12550.0,33000.0,21150.0
2018-04-29,11850.0,22000.0,12550.0,33000.0,21150.0
2018-04-30,11750.0,22000.0,12550.0,33000.0,21150.0
2018-05-01,11750.0,22500.0,12550.0,33000.0,20650.0
2018-05-02,11750.0,22500.0,12550.0,33000.0,20750.0
2018-05-03,11750.0,23000.0,12550.0,33000.0,21000.0
2018-05-04,11750.0,24000.0,12550.0,33750.0,21750.0
2018-05-05,11750.0,24000.0,12550.0,33750.0,21750.0
2018-05-06,11750.0,24000.0,12550.0,33750.0,21750.0
2018-05-07,11750.0,24000.0,12550.0,34000.0,21900.0
2018-05-08,11750.0,24000.0,12550.0,34000.0,22750.0
2018-05-09,11750.0,24000.0,12550.0,34000.0,22750.0
2018-05-10,11750.0,24850.0,12550.0,34250.0,22650.0
2018-05-11,11750.0,24850.0,12550.0,35500.0,22400.0
2018-05-12,11750.0,24850.0,12550.0,35500.0,22400.0
2018-05-13,11750.0,24850.0,12550.0,35500.0,22400.0
2018-05-14,11750.0,24850.0,12550.0,35750.0,24000.0
2018-05-15,11750.0,24850.0,12550.0,35500.0,22650.0
2018-05-16,11750.0,24850.0,12550.0,35750.0,22500.0
2018-05-17,11750.0,24850.0,12550.0,35750.0,22400.0
2018-05-18,11750.0,22600.0,12550.0,35250.0,23150.0
2018-05-19,11750.0,22600.0,12550.0,35250.0,23150.0
2018-05-20,11750.0,22600.0,12550.0,35250.0,23150.0
2018-05-21,11750.0,22600.0,12550.0,35500.0,22650.0
2018-05-22,11750.0,22200.0,12550.0,35500.0,20400.0
2018-05-23,11750.0,22200.0,12550.0,35500.0,20400.0
2018-05-24,11750.0,21950.0,12550.0,35750.0,20000.0
2018-05-25,11750.0,21950.0,12550.0,35750.0,20650.0
2018-05-26,11750.0,21950.0,12550.0,35750.0,20650.0
2018-05-27,11750.0,21950.0,12550.0,35750.0,20650.0
2018-05-28,11650.0,21950.0,12550.0,35750.0,20650.0
2018-05-29,11650.0,21450.0,12450.0,35750.0,20750.0
2018-05-30,11600.0,21000.0,12450.0,36000.0,20900.0
2018-05-31,11750.0,21000.0,12450.0,36000.0,20900.0
2018-06-01,11750.0,20500.0,12400.0,36000.0,24500.0
2018-06-02,11750.0,20500.0,12400.0,36000.0,24500.0
2018-06-03,11750.0,20500.0,12400.0,36000.0,24500.0
2018-06-04,11750.0,20500.0,12400.0,36000.0,24150.0
2018-06-05,11700.0,20500.0,12400.0,36000.0,26750.0
2018-06-06,11700.0,20500.0,12400.0,36000.0,30400.0
2018-06-07,11750.0,20500.0,12400.0,36000.0,30650.0
2018-06-08,11750.0,21000.0,12400.0,37750.0,31750.0
2018-06-09,11750.0,21000.0,12400.0,37750.0,31750.0
2018-06-10,11750.0,21000.0,12400.0,37750.0,31750.0
2018-06-11,11750.0,21350.0,12400.0,39500.0,32900.0
2018-06-12,11750.0,21350.0,12400.0,39000.0,32500.0
2018-06-13,11750.0,21350.0,12400.0,39000.0,32500.0
2018-06-14,11750.0,21350.0,12400.0,39000.0,32500.0
2018-06-15,11750.0,23000.0,12400.0,42500.0,40900.0
2018-06-16,11750.0,23000.0,12400.0,42500.0,40900.0
2018-06-17,11750.0,23000.0,12400.0,42500.0,40900.0
2018-06-18,11750.0,23000.0,12400.0,42500.0,41500.0
2018-06-19,11750.0,22250.0,12400.0,42500.0,36250.0
2018-06-20,11750.0,22000.0,12400.0,41000.0,35750.0
2018-06-21,11750.0,21850.0,12400.0,39000.0,26000.0
2018-06-22,11750.0,21700.0,12400.0,35000.0,31650.0
2018-06-23,11750.0,21700.0,12400.0,35000.0,31650.0
2018-06-24,11750.0,21700.0,12400.0,35000.0,31650.0
2018-06-25,11750.0,22500.0,12400.0,35000.0,36000.0
2018-06-26,11750.0,22500.0,12400.0,35000.0,36000.0
2018-06-27,11750.0,21950.0,12400.0,34500.0,35900.0
2018-06-28,11750.0,21700.0,12400.0,34000.0,35750.0
2018-06-29,11750.0,24200.0,12400.0,32000.0,39900.0
2018-06-30,11750.0,24200.0,12400.0,32000.0,39900.0
2018-07-01,11750.0,24200.0,12400.0,32000.0,39900.0
2018-07-02,11750.0,24200.0,12400.0,32000.0,39650.0
2018-07-03,11750.0,24200.0,12400.0,33250.0,37650.0
2018-07-04,11750.0,24000.0,12400.0,33500.0,37750.0
2018-07-05,11750.0,25000.0,12400.0,34000.0,39400.0
2018-07-06,11750.0,27000.0,12400.0,35000.0,38900.0
2018-07-07,11750.0,27000.0,12400.0,35000.0,38900.0
2018-07-08,11750.0,27000.0,12400.0,35000.0,38900.0
2018-07-09,11700.0,27000.0,12400.0,35000.0,38650.0
2018-07-10,11700.0,27000.0,12400.0,38000.0,39750.0
2018-07-11,11700.0,27000.0,12400.0,38000.0,40150.0
2018-07-12,11700.0,27000.0,12400.0,38500.0,39400.0
2018-07-13,11700.0,27000.0,12400.0,38500.0,39400.0
2018-07-14,11700.0,27000.0,12400.0,38500.0,39400.0
2018-07-15,11700.0,27000.0,12400.0,38500.0,39400.0
2018-07-16,11700.0,26000.0,12400.0,37500.0,39250.0
2018-07-17,11700.0,26000.0,12400.0,37500.0,39250.0
2018-07-18,11650.0,26000.0,12400.0,37000.0,39150.0
2018-07-19,11650.0,25000.0,12400.0,36500.0,38000.0
2018-07-20,11700.0,22500.0,12400.0,42000.0,38750.0
2018-07-21,11700.0,22500.0,12400.0,42000.0,38750.0
2018-07-22,11700.0,22500.0,12400.0,42000.0,38750.0
2018-07-23,11700.0,22000.0,12400.0,40500.0,37400.0
2018-07-24,11700.0,22000.0,12400.0,40250.0,37250.0
2018-07-25,11700.0,22000.0,12400.0,40000.0,37650.0
2018-07-26,11700.0,22000.0,12400.0,39250.0,38400.0
2018-07-27,11700.0,22000.0,12400.0,40000.0,30650.0
2018-07-28,11700.0,22000.0,12400.0,40000.0,30650.0
2018-07-29,11700.0,22000.0,12400.0,40000.0,30650.0
2018-07-30,11700.0,22000.0,12400.0,40000.0,30650.0
2018-07-31,11700.0,22000.0,12400.0,40000.0,29900.0
2018-08-01,11700.0,22000.0,12400.0,38000.0,29250.0
2018-08-02,11700.0,21700.0,12400.0,38000.0,29000.0
2018-08-03,11700.0,21600.0,12400.0,37500.0,29250.0
2018-08-04,11700.0,21600.0,12400.0,37500.0,29250.0
2018-08-05,11700.0,21600.0,12400.0,37500.0,29250.0
2018-08-06,11700.0,21450.0,12400.0,37500.0,28750.0
2018-08-07,11700.0,21250.0,12400.0,38000.0,28750.0
2018-08-08,11700.0,21000.0,12400.0,35500.0,27000.0
2018-08-09,11700.0,21000.0,12400.0,35000.0,26750.0
2018-08-10,11700.0,20000.0,12400.0,35000.0,25500.0
2018-08-11,11700.0,20000.0,12400.0,35000.0,25500.0
2018-08-12,11700.0,20000.0,12400.0,35000.0,25500.0
2018-08-13,11700.0,20000.0,12400.0,35000.0,25500.0
2018-08-14,11700.0,21000.0,12400.0,35000.0,24650.0
2018-08-15,11700.0,21000.0,12400.0,35000.0,24400.0
2018-08-16,11700.0,21000.0,12400.0,35000.0,24400.0
2018-08-17,11700.0,21500.0,12400.0,34500.0,22650.0
2018-08-18,11700.0,21500.0,12400.0,34500.0,22650.0
2018-08-19,11700.0,21500.0,12400.0,34500.0,22650.0
2018-08-20,11700.0,21500.0,12400.0,34500.0,22500.0
2018-08-21,11700.0,21500.0,12400.0,34500.0,22500.0
2018-08-22,11700.0,21500.0,12400.0,35000.0,21150.0
2018-08-23,11700.0,21500.0,12400.0,34500.0,21000.0
2018-08-24,11700.0,21500.0,12400.0,33000.0,20500.0
2018-08-25,11700.0,21500.0,12400.0,33000.0,20500.0
2018-08-26,11700.0,21500.0,12400.0,33000.0,20500.0
2018-08-27,11700.0,21500.0,12400.0,33000.0,18900.0
2018-08-28,11700.0,21000.0,12400.0,32000.0,18250.0
2018-08-29,11700.0,21000.0,12400.0,32500.0,18150.0
2018-08-30,11700.0,21700.0,12400.0,32500.0,18250.0
2018-08-31,11700.0,22000.0,12400.0,29000.0,16250.0
2018-09-01,11700.0,22000.0,12400.0,29000.0,16250.0
2018-09-02,11700.0,22000.0,12400.0,29000.0,16250.0
2018-09-03,11700.0,22000.0,12400.0,29250.0,17000.0
2018-09-04,11700.0,22000.0,12400.0,29250.0,17000.0
2018-09-05,11700.0,21700.0,12400.0,29250.0,18150.0
2018-09-06,11700.0,21500.0,12400.0,28750.0,18400.0
2018-09-07,11700.0,21000.0,12400.0,28750.0,18500.0
2018-09-08,11700.0,21000.0,12400.0,28750.0,18500.0
2018-09-09,11700.0,21000.0,12400.0,28750.0,18500.0
2018-09-10,11700.0,21000.0,12400.0,28750.0,18500.0
2018-09-11,11700.0,21200.0,12400.0,29250.0,18650.0
2018-09-12,11700.0,21000.0,12400.0,29500.0,18000.0
2018-09-13,11700.0,21000.0,12400.0,29500.0,18000.0
2018-09-14,11700.0,21000.0,12400.0,29000.0,16500.0
2018-09-15,11700.0,21000.0,12400.0,29000.0,16500.0
2018-09-16,11700.0,21000.0,12400.0,29000.0,16500.0
2018-09-17,11700.0,21000.0,12400.0,29000.0,16900.0
2018-09-18,11700.0,21000.0,12400.0,29000.0,17250.0
2018-09-19,11700.0,21000.0,12400.0,29000.0,17500.0
2018-09-20,11700.0,21000.0,12400.0,29000.0,17500.0
2018-09-21,11700.0,19500.0,12400.0,27000.0,17150.0
2018-09-22,11700.0,19500.0,12400.0,27000.0,17150.0
2018-09-23,11700.0,19500.0,12400.0,27000.0,17150.0
2018-09-24,11700.0,19500.0,12400.0,27000.0,17150.0
